,timestamp,open,high,low,close,ema_short,ema_long,atr,adx
10956,2025-01-30 21:45:00,21753.25,21754.75,21741.25,21741.75,21748.0,21749.38,5.6787,28.76
10957,2025-01-30 21:47:00,21746.75,21748.5,21745.25,21747.5,21747.62,21748.95,5.6924,27.99
10958,2025-01-30 21:49:00,21745.0,21745.5,21742.25,21743.5,21746.42,21748.15,5.4057,27.53
10959,2025-01-30 21:51:00,21746.0,21753.75,21745.75,21752.75,21747.66,21748.41,5.5309,25.11
10960,2025-01-30 21:53:00,21753.25,21753.5,21747.75,21750.5,21749.12,21749.0,5.445,22.08
10961,2025-01-30 21:55:00,21751.25,21753.0,21748.25,21750.0,21749.72,21749.32,5.5151,19.23
10962,2025-01-30 21:57:00,21748.0,21749.0,21743.25,21744.25,21748.35,21748.75,5.4811,17.65
10963,2025-01-30 21:59:00,21745.0,21746.5,21743.5,21743.5,21746.8,21747.94,5.1062,17.07
10964,2025-01-30 22:01:00,21740.5,21743.5,21736.0,21742.75,21744.98,21746.85,5.2701,18.66
10965,2025-01-30 22:03:00,21746.75,21749.0,21745.5,21748.5,21745.89,21746.95,5.2253,17.82
10966,2025-01-30 22:05:00,21746.25,21746.75,21744.0,21745.5,21745.91,21746.78,5.0335,16.18
10967,2025-01-30 22:07:00,21745.25,21748.5,21745.25,21747.25,21745.99,21746.66,4.8733,14.54
10968,2025-01-30 22:09:00,21745.5,21747.5,21744.0,21747.5,21746.25,21746.66,4.7173,13.58
10969,2025-01-30 22:11:00,21747.25,21747.25,21744.5,21746.5,21746.46,21746.69,4.4297,12.89
10970,2025-01-30 22:13:00,21747.25,21748.0,21746.5,21748.0,21746.9,21746.86,4.109,11.62
10971,2025-01-30 22:15:00,21749.0,21749.25,21746.5,21748.0,21747.45,21747.14,3.8886,10.19
10972,2025-01-30 22:17:00,21753.25,21753.75,21750.25,21750.25,21748.98,21747.95,4.0341,11.99
10973,2025-01-30 22:19:00,21749.25,21753.25,21749.25,21750.75,21749.42,21748.33,3.8967,13.29
10974,2025-01-30 22:21:00,21752.75,21754.25,21750.0,21750.0,21750.11,21748.87,3.8957,15.06
10975,2025-01-30 22:23:00,21754.5,21754.5,21751.75,21753.25,21751.44,21749.73,3.9036,16.77
10976,2025-01-30 22:25:00,21750.5,21752.0,21750.0,21750.25,21750.97,21749.8,3.7741,16.15
10977,2025-01-30 22:27:00,21752.0,21752.5,21745.0,21747.0,21750.26,21749.69,4.0054,16.04
10978,2025-01-30 22:29:00,21746.25,21746.25,21741.5,21743.5,21748.11,21748.76,4.0251,16.41
10979,2025-01-30 22:31:00,21743.25,21744.75,21738.0,21740.0,21745.71,21747.51,4.102,18.49
10980,2025-01-30 22:33:00,21739.25,21741.75,21738.25,21739.5,21743.55,21746.16,3.9693,21.25
10981,2025-01-30 22:35:00,21739.25,21739.5,21731.75,21735.0,21741.11,21744.55,4.258,24.13
10982,2025-01-30 22:37:00,21735.25,21736.25,21733.0,21735.25,21738.88,21742.88,4.202,27.88
10983,2025-01-30 22:39:00,21737.25,21737.25,21734.25,21734.5,21737.75,21741.65,4.1691,30.07
10984,2025-01-30 22:41:00,21736.5,21737.25,21734.5,21736.0,21737.24,21740.73,4.0399,32.16
10985,2025-01-30 22:43:00,21734.5,21735.75,21733.75,21735.0,21736.43,21739.74,3.7589,33.99
10986,2025-01-30 22:45:00,21735.75,21738.25,21734.5,21736.25,21736.25,21739.07,3.625,34.13
10987,2025-01-30 22:47:00,21737.5,21739.25,21732.0,21733.5,21735.98,21738.47,3.8425,34.09
10988,2025-01-30 22:49:00,21735.75,21741.75,21735.75,21740.75,21736.94,21738.48,3.9242,32.29
10989,2025-01-30 22:51:00,21741.75,21747.25,21741.75,21744.75,21739.23,21739.3,3.9601,29.31
10990,2025-01-30 22:53:00,21747.75,21747.75,21745.0,21745.75,21741.94,21740.6,3.8776,28.42
10991,2025-01-30 22:55:00,21745.5,21746.0,21742.0,21742.5,21742.62,21741.18,3.9276,25.49
10992,2025-01-30 22:57:00,21741.0,21742.25,21738.25,21740.0,21741.84,21741.06,3.8049,22.73
10993,2025-01-30 22:59:00,21742.25,21742.5,21738.75,21739.25,21741.31,21740.95,3.7808,20.69
10994,2025-01-30 23:01:00,21739.25,21741.25,21735.75,21737.25,21740.09,21740.43,3.8186,20.25
10995,2025-01-30 23:03:00,21739.5,21740.0,21737.5,21738.25,21739.66,21740.18,3.7199,19.76
10996,2025-01-30 23:05:00,21737.5,21739.5,21736.75,21738.25,21739.16,21739.84,3.6029,19.42
10997,2025-01-30 23:07:00,21738.75,21739.5,21737.0,21739.0,21739.18,21739.74,3.5504,20.17
10998,2025-01-30 23:09:00,21738.75,21739.75,21738.0,21739.0,21739.15,21739.63,3.3522,19.93
10999,2025-01-30 23:11:00,21738.5,21739.25,21736.0,21738.25,21738.99,21739.47,3.2552,20.27
11000,2025-01-30 05:34:00,21631.75,21637.75,21631.0,21636.25,21628.85,21628.13,6.2868,19.35
11001,2025-01-30 05:36:00,21638.0,21641.25,21637.25,21639.75,21632.5,21630.0,6.0215,20.39
11002,2025-01-30 05:38:00,21639.0,21640.5,21634.0,21638.5,21634.7,21631.5,6.1537,21.62
11003,2025-01-30 05:40:00,21633.75,21636.5,21632.75,21634.5,21634.59,21632.0,6.1377,21.61
11004,2025-01-30 05:42:00,21639.75,21641.25,21636.0,21640.5,21636.6,21633.41,6.0651,22.82
11005,2025-01-30 05:44:00,21634.0,21638.5,21634.0,21638.0,21636.34,21633.82,6.1684,22.45
11006,2025-01-30 05:46:00,21633.5,21634.25,21629.5,21629.75,21634.53,21633.4,6.0393,20.78
11007,2025-01-30 05:48:00,21629.75,21636.5,21629.5,21636.5,21634.16,21633.38,5.9893,18.98
11008,2025-01-30 05:50:00,21638.75,21639.75,21635.5,21637.0,21635.34,21634.09,5.816,19.31
11009,2025-01-30 05:52:00,21630.75,21634.0,21629.5,21630.75,21633.61,21633.47,5.9166,16.95
11010,2025-01-30 05:54:00,21625.25,21626.25,21621.25,21625.25,21630.56,21632.02,6.0059,16.72
11011,2025-01-30 05:56:00,21626.75,21627.75,21622.0,21625.25,21628.97,21631.01,5.8546,16.45
11012,2025-01-30 05:58:00,21623.25,21624.75,21618.0,21620.5,21626.32,21629.39,5.7789,17.35
11013,2025-01-30 06:00:00,21622.5,21623.5,21619.25,21620.5,21624.66,21628.08,5.7341,18.6
11014,2025-01-30 06:02:00,21627.25,21630.0,21625.0,21628.25,21625.92,21628.09,5.8983,16.9
11015,2025-01-30 06:04:00,21638.0,21638.5,21632.25,21632.75,21629.26,21629.35,6.2287,17.01
11016,2025-01-30 06:06:00,21630.75,21634.25,21627.0,21629.0,21629.44,21629.43,6.1869,15.5
11017,2025-01-30 06:08:00,21625.75,21628.0,21625.0,21626.25,21628.25,21628.86,5.9303,13.88
11018,2025-01-30 06:10:00,21637.0,21639.25,21634.25,21639.0,21631.8,21630.46,6.1835,14.93
11019,2025-01-30 06:12:00,21643.25,21648.0,21643.25,21647.25,21636.8,21633.08,6.0192,17.77
11020,2025-01-30 06:14:00,21652.0,21653.0,21649.25,21650.0,21641.99,21636.24,5.9885,21.65
11021,2025-01-30 06:16:00,21651.0,21652.75,21648.75,21650.75,21645.23,21638.8,5.7478,24.63
11022,2025-01-30 06:18:00,21654.5,21655.75,21651.5,21653.25,21648.23,21641.37,5.5912,27.71
11023,2025-01-30 06:20:00,21657.5,21663.25,21655.5,21661.5,21652.33,21644.51,5.8886,31.54
11024,2025-01-30 06:22:00,21661.0,21662.0,21658.5,21659.5,21655.15,21647.24,5.5927,35.02
11025,2025-01-30 06:24:00,21657.0,21660.75,21654.75,21657.5,21655.92,21648.98,5.8312,34.45
11026,2025-01-30 06:26:00,21658.0,21664.5,21657.5,21662.25,21657.44,21650.89,5.7435,34.62
11027,2025-01-30 06:28:00,21661.25,21661.25,21657.25,21657.75,21658.11,21652.37,5.4536,34.73
11028,2025-01-30 06:30:00,21656.25,21656.5,21651.5,21655.5,21657.33,21653.0,5.3082,32.22
11029,2025-01-30 06:32:00,21658.5,21664.75,21658.0,21664.25,21658.9,21654.47,5.7887,31.0
11030,2025-01-30 06:34:00,21659.25,21663.5,21657.5,21660.5,21659.36,21655.46,5.9007,30.68
11031,2025-01-30 06:36:00,21663.5,21666.5,21661.75,21664.0,21660.99,21656.92,5.7256,30.78
11032,2025-01-30 06:38:00,21670.0,21670.5,21665.25,21667.25,21663.56,21658.88,5.7596,32.25
11033,2025-01-30 06:40:00,21665.0,21665.0,21660.0,21663.75,21663.79,21659.81,5.6384,31.11
11034,2025-01-30 06:42:00,21667.5,21668.25,21663.5,21664.0,21664.43,21660.82,5.516,30.53
11035,2025-01-30 06:44:00,21658.5,21659.75,21655.75,21657.5,21662.13,21660.35,5.4895,26.8
11036,2025-01-30 06:46:00,21654.25,21656.5,21652.25,21656.25,21659.77,21659.51,5.3851,24.36
11037,2025-01-30 06:48:00,21646.75,21653.25,21642.75,21651.0,21655.94,21657.69,6.3384,25.28
11038,2025-01-30 06:50:00,21652.25,21653.5,21650.0,21653.5,21654.86,21656.86,5.9474,25.95
11039,2025-01-30 06:52:00,21644.25,21647.25,21640.5,21643.25,21650.84,21654.58,6.257,28.55
11040,2025-01-30 06:54:00,21644.5,21645.75,21641.25,21644.5,21648.56,21652.83,6.2471,31.59
11041,2025-01-30 06:56:00,21640.5,21645.25,21640.5,21641.75,21645.95,21650.82,6.0243,34.28
11042,2025-01-30 06:58:00,21646.0,21646.0,21639.5,21641.25,21645.02,21649.55,6.0069,36.15
11043,2025-01-30 07:00:00,21639.25,21644.0,21634.5,21641.25,21643.34,21647.95,6.2394,37.91
11044,2025-01-30 07:02:00,21637.5,21638.0,21616.25,21626.75,21639.09,21645.16,8.1605,35.44
11045,2025-01-30 07:04:00,21625.5,21634.75,21621.75,21633.5,21635.72,21642.43,8.5121,35.93
11046,2025-01-30 07:06:00,21633.25,21638.0,21628.5,21637.5,21635.68,21641.22,8.5487,35.46
11047,2025-01-30 07:08:00,21648.25,21648.5,21637.5,21639.25,21638.32,21641.58,9.2512,30.64
11048,2025-01-30 07:10:00,21635.75,21636.5,21628.0,21630.5,21636.31,21640.07,9.1643,28.12
11049,2025-01-30 07:12:00,21627.5,21629.5,21621.0,21624.5,21632.54,21637.62,8.8904,27.18
